               Omega               SigmaT1               SigmaT2           SigmaOmega1           SigmaOmega2
  0.000000000000E+00    0.518070021644E-02    0.568785597868E-04    0.750060939658E+00    0.814643832862E+00
  0.151982712758E-01    0.575859984383E-02    0.126287979313E-03    0.347828033364E+00    0.431568576566E+00
  0.303965425517E-01    0.751820020378E-02    0.247003904644E-03    0.657402834422E+00    0.169639737313E+01
  0.455948138275E-01    0.104826996103E-01    0.458621004170E-03    0.255645082223E+01    0.514514389755E+01
  0.607930851033E-01    0.145458001643E-01    0.794472981158E-03    0.417402963372E+01    0.601141214539E+01
  0.759913563792E-01    0.193514004350E-01    0.126673110422E-02    0.250471432243E+01    0.453160201800E+01
  0.911896276550E-01    0.242484994233E-01    0.184948808293E-02    0.496538517325E+01    0.112068543127E+02
  0.106387898931E+00    0.283560007811E-01    0.246859594597E-02    0.973420907744E+01    0.157447202171E+02
  0.121586170207E+00    0.307392999530E-01    0.300674442090E-02    0.447516238482E+01    0.119155368227E+02
  0.136784441482E+00    0.306557007134E-01    0.332747527262E-02    0.622023659997E+01    0.973102291285E+01
  0.151982712758E+00    0.277807991952E-01    0.331270786273E-02    0.164101636343E+01    0.423801059587E+01
  0.167180984034E+00    0.223201997578E-01    0.289978461088E-02    0.211171593894E+01    0.364623371077E+01
  0.182379255310E+00    0.149547001347E-01    0.210206794460E-02    0.503126953369E+01    0.886664789456E+01
  0.197577526586E+00    0.663449987769E-02    0.100299728006E-02    0.427688428529E+01    0.722280349622E+01
  0.212775797862E+00    0.169589999132E-02    0.274341455264E-03    0.343136392937E+00    0.392154312514E+00
  0.227974069137E+00    0.933879986405E-02    0.160933321379E-02    0.361140054825E+01    0.646085937300E+01
  0.243172340413E+00    0.159582998604E-01    0.291812585891E-02    0.329896131094E+01    0.549633065330E+01
  0.258370611689E+00    0.215358007699E-01    0.416422444959E-02    0.783277538933E+00    0.103461645389E+01
  0.273568882965E+00    0.262017995119E-01    0.534091927143E-02    0.473672255889E+01    0.625955861236E+01
  0.288767154241E+00    0.300309993327E-01    0.643517463792E-02    0.228833299646E+00    0.166246441133E+01
  0.303965425517E+00    0.329018011689E-01    0.739311326064E-02    0.304220124010E+01    0.462793931185E+01
  0.319163696792E+00    0.344856008887E-01    0.810728189092E-02    0.132065099558E+01    0.120203700790E+01
  0.334361968068E+00    0.343717001379E-01    0.843662254880E-02    0.340433867067E+01    0.340702719655E+01
  0.349560239344E+00    0.322717018425E-01    0.825460740559E-02    0.132607183184E+01    0.807479860525E+00
  0.364758510620E+00    0.282119996846E-01    0.750687708172E-02    0.271928862761E+01    0.305662026688E+01
  0.379956781896E+00    0.226322002709E-01    0.625469639663E-02    0.148909418312E+01    0.153532677250E+01
  0.395155053172E+00    0.163362007588E-01    0.468209462342E-02    0.561417206587E+01    0.807975556729E+01
  0.410353324447E+00    0.103059001267E-01    0.305905399134E-02    0.391593008123E+01    0.879567815495E+01
  0.425551595723E+00    0.544560002163E-02    0.167187309468E-02    0.382644511808E+01    0.546028652229E+01
  0.440749866999E+00    0.235829991288E-02    0.747988326679E-03    0.234420622624E+01    0.282190550092E+01
  0.455948138275E+00    0.123559997883E-02    0.404415361992E-03    0.316559649159E+01    0.219787228967E+01
  0.471146409551E+00    0.188430002891E-02    0.635770228956E-03    0.698116838286E+01    0.711088760501E+01
  0.486344680827E+00    0.385929993354E-02    0.134101393478E-02    0.405333715836E+01    0.293169651467E+01
  0.501542952102E+00    0.663900002837E-02    0.237356778577E-02    0.244516369927E+01    0.275019517997E+01
  0.516741223378E+00    0.977160036564E-02    0.359138193348E-02    0.832980931443E+00    0.285410999505E+00
  0.531939494654E+00    0.129313999787E-01    0.488182566554E-02    0.430516648233E+00    0.942512044430E+00
  0.547137765930E+00    0.158645994961E-01    0.614709596758E-02    0.896474227359E+00    0.946615422670E+00
  0.562336037206E+00    0.182646997273E-01    0.725836482469E-02    0.461647939004E+00    0.363934319009E+00
  0.577534308482E+00    0.196733996272E-01    0.801288207290E-02    0.627068001893E+00    0.448206999576E+00
  0.592732579757E+00    0.194956008345E-01    0.813283540937E-02    0.377688448555E+00    0.178920762033E+00
  0.607930851033E+00    0.171444993466E-01    0.732071055016E-02    0.298368166323E+00    0.195070257831E+00
  0.623129122309E+00    0.122571000829E-01    0.535401230490E-02    0.344783345548E+00    0.379149443135E-01
  0.638327393585E+00    0.488450005651E-02    0.218135954057E-02    0.377710527961E+00    0.144183447516E+00
  0.653525664861E+00    0.442219991237E-02    0.201801611523E-02    0.143672867789E+00    0.250064301710E+00
  0.668723936137E+00    0.146711003035E-01    0.683757732213E-02    0.414639511978E+00    0.291165433061E+00
  0.683922207412E+00    0.246380008757E-01    0.117214781558E-01    0.210348412502E+00    0.195590225905E+00
  0.699120478688E+00    0.331675000489E-01    0.160997925554E-01    0.516605534483E+00    0.399136847073E+00
  0.714318749964E+00    0.394539982080E-01    0.195312979842E-01    0.451663580318E+00    0.276450653771E+00
  0.729517021240E+00    0.431847013533E-01    0.217927771409E-01    0.525226158698E-01    0.678255637286E+00
